project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
aeraki mesh,sandbox,,2022-06-17,2022-06-17,,,,0,
agones,sandbox,,2025-12-21,2025-12-21,,,,0,
akri,sandbox,,2021-09-14,2021-09-14,,,,0,
antrea,sandbox,,2021-04-28,2021-04-28,,,,0,
argo,graduated,,2020-03-26,,2020-03-26,2022-12-06,,2,2022-07-18
armada,sandbox,,2022-07-25,2022-07-25,,,,0,
artifact hub,incubating,,2020-06-25,2020-06-25,2024-05-30,,,0,
athenz,sandbox,,2021-01-26,2021-01-26,,,,0,
atlantis,sandbox,,2024-06-18,2024-06-18,,,,0,
backstage,incubating,,2020-09-08,2020-09-08,2022-03-15,,,1,2022-08-23
bank-vaults,sandbox,,2024-06-18,2024-06-18,,,,0,
bfe,sandbox,,2020-06-25,2020-06-25,,,,0,
bootc,sandbox,,2025-01-21,2025-01-21,,,,0,
bpfman,sandbox,,2024-06-19,2024-06-19,,,,0,
brigade,archived,,2019-03-18,2019-03-18,,,2022-10-19,0,
buildpacks,incubating,,2018-10-03,2018-10-03,2020-11-18,,,0,
cadence workflow,sandbox,,2025-05-22,2025-05-22,,,,0,
capsule,sandbox,,2022-12-13,2022-12-13,,,,0,
carina,sandbox,,2022-12-14,2022-12-14,,,,0,
cartography,sandbox,,2024-08-23,2024-08-23,,,,0,
carvel,sandbox,,2022-09-14,2022-09-14,,,,0,
cdk for kubernetes (cdk8s),sandbox,,2020-11-10,2020-11-10,,,,0,
cedar,sandbox,,2025-10-08,2025-10-08,,,,0,
cert-manager,graduated,,2020-11-10,2020-11-10,2022-09-19,2024-09-29,,0,
chaos mesh,incubating,,2020-07-14,2020-07-14,2022-02-16,,,0,
chaosblade,sandbox,,2021-04-28,2021-04-28,,,,0,
cilium,graduated,,2021-10-13,,2021-10-13,2023-10-11,,2,2023-02-13
cloud custodian,incubating,,2020-06-25,2020-06-25,2022-09-14,,,1,2024-04-19
cloudevents,graduated,,2018-05-15,2018-05-15,2019-10-24,2024-01-25,,1,2022-11-28
cloudnativepg,sandbox,,2025-01-21,2025-01-21,,,,0,
clusternet,sandbox,,2023-03-07,2023-03-07,,,,0,
clusterpedia,sandbox,,2022-06-17,2022-06-17,,,,0,
cni-genie,archived,,2020-06-25,2020-06-25,,,2025-05-22,0,
cohdi,sandbox,,2025-12-19,2025-12-19,,,,0,
composefs,sandbox,,2025-01-21,2025-01-21,,,,0,
confidential containers,sandbox,,2022-03-08,2022-03-08,,,,0,
connect rpc,sandbox,,2024-04-13,2024-04-13,,,,0,
container network interface (cni),incubating,,2017-05-23,,2017-05-23,,,0,
container2wasm,sandbox,,2025-01-21,2025-01-21,,,,0,
containerd,graduated,,2017-03-29,,2017-03-29,2019-02-28,,1,2023-03-02
containerssh,sandbox,,2022-09-14,2022-09-14,,,,0,
contour,incubating,,2020-07-07,,2020-07-07,,,1,2021-12-01
copa,sandbox,,2023-09-19,2023-09-19,,,,0,
coredns,graduated,,2017-02-27,2017-02-27,2018-02-26,2019-01-24,,1,2018-02-03
cortex,incubating,,2018-09-20,2018-09-20,2020-08-20,,,0,
cozystack,sandbox,,2025-03-04,2025-03-04,,,,0,
cozystack,sandbox,,2025-03-04,2025-03-04,,,,0,
cri-o,graduated,,2019-04-08,,2019-04-08,2023-07-19,,1,2022-06-06
crossplane,graduated,,2020-06-25,2020-06-25,2021-09-14,2025-10-28,,2,2023-07-27
cubefs,graduated,,2019-12-16,2019-12-16,2022-07-03,2024-12-11,,0,
curiefense,archived,,2021-01-26,2021-01-26,,,2024-06-28,0,
curve,archived,,2022-06-17,2022-06-17,,,2024-10-26,0,
dalec,sandbox,,2025-10-08,2025-10-08,,,,0,
dapr,graduated,,2021-11-09,,2021-11-09,2024-10-30,,2,2023-09-05
devfile,sandbox,,2022-01-11,2022-01-11,,,,0,
devspace,sandbox,,2022-12-13,2022-12-13,,,,0,
devstream,archived,,2022-06-17,2022-06-17,,,2025-05-22,0,
dex,sandbox,,2020-06-25,2020-06-25,,,,0,
distribution,sandbox,,2021-01-26,2021-01-26,,,,0,
dragonfly,graduated,,2018-11-13,2018-11-13,2020-04-09,2025-10-28,,0,
drasi,sandbox,,2025-01-21,2025-01-21,,,,0,
easegress,sandbox,,2023-12-19,2023-12-19,,,,0,
emissary-ingress,incubating,,2021-04-13,,2021-04-13,,,0,
envoy,graduated,,2017-09-13,,2017-09-13,2018-11-28,,2,2021-05-15
eraser,sandbox,,2023-06-30,2023-06-30,,,,0,
etcd,graduated,,2018-12-11,,2018-12-11,2020-11-24,,2,2022-03-11
external-secrets,sandbox,,2022-07-26,2022-07-26,,,,0,
fabedge,archived,,2022-03-08,2022-03-08,,,2024-11-05,0,
falco,graduated,,2018-10-10,2018-10-10,2020-01-08,2024-02-29,,2,2023-03-22
flatcar container linux,incubating,,2024-08-02,,2024-08-02,,,0,
fluentd,graduated,,2016-11-08,,2016-11-08,2019-04-11,,2,2020-12-15
fluid,incubating,,2021-04-28,2021-04-28,2026-01-08,,,0,
flux,graduated,,2019-07-15,2019-07-15,2021-03-12,2022-11-30,,1,2021-11-10
fonio,archived,,2021-03-30,2021-03-30,,,2024-01-31,0,
grpc,incubating,,2017-02-16,,2017-02-16,,,1,2019-10-29
hami,sandbox,,2024-08-21,2024-08-21,,,,0,
harbor,graduated,,2018-07-31,2018-07-31,2018-11-14,2020-06-15,,1,2019-10-01
headlamp,sandbox,,2023-05-17,2023-05-17,,,,0,
helm,graduated,,2018-06-01,,2018-06-01,2020-05-01,,2,2023-03-31
hexa,sandbox,,2022-07-26,2022-07-26,,,,0,
higress,sandbox,,2026-03-15,2026-03-15,,,,0,
holmesgpt,sandbox,,2025-10-08,2025-10-08,,,,0,
hwameistor,sandbox,,2023-06-22,2023-06-22,,,,0,
